stamp,actual,bucket,tc,conf,correct,abstain,confidentWrong,offBy,budgetExhausted,runtime,method
2026-04-28_14-18-32-698Z,34,XL     29-60T,40,0.213,0,0,1,6,0,1726,
2026-04-28_14-33-47-405Z,11,Small  9-15T,11,1.000,1,0,0,0,0,941,
2026-04-28_14-36-56-005Z,18,Mid    16-20T,18,0.000,0,1,0,0,0,961,
2026-04-28_18-27-23-983Z,52,XL     29-60T,0,0.000,0,1,0,52,0,1522,
2026-04-28_18-29-55-917Z,52,XL     29-60T,0,0.000,0,1,0,52,0,1003,
2026-04-28_18-32-08-432Z,42,XL     29-60T,43,0.000,0,1,0,1,0,1406,
2026-04-28_18-34-58-887Z,42,XL     29-60T,12,0.112,0,0,1,30,0,889,
2026-04-28_18-37-51-496Z,14,Small  9-15T,10,0.000,0,1,0,4,0,1279,
2026-04-28_18-39-53-571Z,28,Large  21-28T,28,1.000,1,0,0,0,0,974,
2026-04-29_05-15-43-455Z,11,Small  9-15T,11,1.000,1,0,0,0,0,993,
2026-04-29_05-17-07-868Z,11,Small  9-15T,11,1.000,1,0,0,0,0,1091,
2026-04-29_05-18-37-310Z,12,Small  9-15T,12,1.000,1,0,0,0,0,1095,
