tdStamp,drDir,deltaMs,actual,klass,build,fullTC,fullConf,fullMethod,fullPeakR,fullROuter,crmTC,crmConf,crmMethod,crmPeakR,crmROuter,aimCircleFrac,sameTC,fullCorrect,crmCorrect
2026-04-28_14-36-56-005Z,report_2026-04-28_14-36-49-371Z,6634,18,Mid,107,18,0.000,bc-consensus+peak+pap961-aim-circle-prior-abstain,156,117,18,1.000,bc-consensus+peak,380,190,1,Y,N,Y
2026-04-28_18-27-23-983Z,report_2026-04-28_18-27-17-432Z,6551,52,XL,107,0,0.000,fft-agreement+pap474-abstain,158,206,31,0.000,retry-bc-peaks,315,331,1,N,N,N
2026-04-28_18-29-55-917Z,report_2026-04-28_18-29-49-560Z,6357,52,XL,107,0,0.000,low-conf-consensus+op-up-override+pap632-fft-floor-abstain,251,192,45,0.396,retry-bc-peaks,306,355,1,N,N,N
2026-04-28_18-32-08-432Z,report_2026-04-28_18-32-02-431Z,6001,42,XL,107,43,0.000,fft90-fallback+pap961-aim-circle-prior-abstain,182,173,45,0.210,fft90-fallback,418,441,1,N,N,N
2026-04-28_18-34-58-887Z,report_2026-04-28_18-34-52-708Z,6179,42,XL,107,12,0.112,fft90-fallback,255,206,42,0.743,bc-consensus,386,356,1,N,N,Y
2026-04-28_18-37-51-496Z,report_2026-04-28_18-37-45-316Z,6180,14,Mid,107,10,0.000,fft90-fallback,184,84,14,1.000,bc-consensus+fft-agree,363,233,1,N,N,Y
2026-04-28_18-39-53-571Z,report_2026-04-28_18-39-47-624Z,5947,28,Large,107,28,1.000,bc-consensus+peak,162,128,28,1.000,bc-consensus+peak,360,436,1,Y,Y,Y
2026-04-29_05-15-43-455Z,report_2026-04-29_05-15-37-079Z,6376,11,Small,109,11,1.000,bc-consensus+peak,165,137,11,0.534,fft-agreement,376,424,1,Y,Y,Y
2026-04-29_05-17-07-868Z,report_2026-04-29_05-17-02-454Z,5414,11,Small,109,11,1.000,bc-consensus+peak,169,142,11,0.877,bc-consensus+peak,385,310,1,Y,Y,Y
2026-04-29_05-18-37-310Z,report_2026-04-29_05-18-31-389Z,5921,12,Small,109,12,1.000,bc-consensus+peak,166,133,12,1.000,bc-consensus+peak,377,296,1,Y,Y,Y
2026-04-29_05-20-55-642Z,report_2026-04-29_05-20-49-673Z,5969,11,Small,110,11,1.000,peak,177,143,11,0.847,bc-consensus+fft-agree,401,417,1,Y,Y,Y
2026-04-29_05-22-34-904Z,report_2026-04-29_05-22-28-795Z,6109,21,Large,110,21,1.000,bc-consensus+peak,174,135,21,1.000,bc-consensus+fft-agree,381,348,1,Y,Y,Y
2026-04-29_05-26-20-132Z,report_2026-04-29_05-26-14-044Z,6088,28,Large,110,28,1.000,bc-consensus+peak,178,149,28,1.000,bc-consensus+peak,400,146,1,Y,Y,Y
